,QuestionID,Question,TripleSize,RelationTotal,ResourceTotal,ClassTotal,QuestionLength,Resources,WordCountEntity1,AvgWordCount,Special Character,Explicit E1,Explicit E1 and E2,Capital/Small Letters E1,Capital letter E1 and E2,aylienNERagdistis,tagmeNEDlogs,DBpediaNERAgdistis3252,ambiverseNEDlogs,meaningcloudAgdistis,qanary_logs_DBpediaSpotlightNED,meaningCloudNEDnew,textrazorAgdistis,dandiNERAgdistisFINAL,dandilionNEDlogs,OntotextNEDlogs,babelfyAgdistis3000,ambiverseAgdistis,tagmeAgdistis,EntityClassifier_NER_Agdistis,newBabelfyNEDlogs,stanfordAgdistis,ontotextAgdistis,AmbiverseNED 2.0,AmbiverseStanford 2.0
1033,11033.0,Give me a count of the services by the company which provides Data center as the services ?,3.0,0.0,1.0,0.0,17.0,http://dbpedia.org/resource/Data_center_services,2.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1075,11075.0,Where has GARAGE recorded its singles ?,4.0,2.0,1.0,1.0,6.0,http://dbpedia.org/resource/Garbage_(band),0.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1096,11096.0,Count the number of broadcast area of the TV stations which serves in Agalga ?,3.0,1.0,1.0,0.0,14.0,http://dbpedia.org/resource/Agaléga,1.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1126,11126.0,What awards were given to the producer of Chicken Little ?,3.0,2.0,1.0,0.0,10.0,http://dbpedia.org/resource/Chicken_Little_(1943_film),2.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1155,11155.0,How many shows belong to the network one of whose sister station is Cartoonite ?,4.0,1.0,1.0,1.0,14.0,http://dbpedia.org/resource/Cartoonito,1.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1186,11186.0,Give me a count of everything made by the company which offers electronical manufacturing too. ?,3.0,2.0,1.0,0.0,15.0,http://dbpedia.org/resource/Electronics_manufacturing_services,1.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1226,11226.0,What are the famous Uni Toronto scientists known for ?,4.0,2.0,1.0,1.0,9.0,http://dbpedia.org/resource/University_of_Toronto,2.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1240,11240.0,In how many different stadiums are the seasons of the 2015 NA Soccer league held ?,4.0,2.0,1.0,1.0,15.0,http://dbpedia.org/resource/2015_North_American_Soccer_League_season,2.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1264,11264.0,What is the television show whose previous work is The Spirit of Christmas (short film) ?,3.0,1.0,1.0,1.0,15.0,http://dbpedia.org/resource/The_Spirit_of_Christmas_(short_film),6.0,0.0,0.5,True,0.5,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1278,11278.0,Which minister was responsible for Kriminalpolizie ?,2.0,1.0,1.0,0.0,6.0,http://dbpedia.org/resource/Kriminalpolizei,1.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300,11300.0,Which party won both the general electoin and the andhra pradesh election in 2004 ?,4.0,2.0,2.0,0.0,14.0,"http://dbpedia.org/resource/Indian_general_election,_2004_(Delhi),http://dbpedia.org/resource/Indian_general_election,_2004_(Andhra_Pradesh)",0.0,2.5,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1301,11301.0,How many games are released for virtual consoles ?,3.0,1.0,1.0,1.0,8.0,http://dbpedia.org/resource/Virtual_Console,2.0,0.0,0.0,True,0.5,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1309,11309.0,Count the different religions practiced by people who are in the Malaysian and Chinese association. ?,3.0,2.0,1.0,0.0,15.0,http://dbpedia.org/resource/Malaysian_Chinese_Association,0.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1347,11347.0,With which musical artist is the music group which sung Mind Blowin' related to ?,3.0,2.0,1.0,0.0,14.0,http://dbpedia.org/resource/Mind_Blowin'_(Smooth_song),2.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1368,11368.0,What are the awards won by the producer of Puss in Boots (film) ?,3.0,2.0,1.0,0.0,13.0,http://dbpedia.org/resource/Puss_in_Boots_(1922_film),3.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1381,11381.0,From how many different places have participants of Breeders's Cup Turf come ?,3.0,0.0,1.0,0.0,12.0,http://dbpedia.org/resource/Breeders'_Cup_Turf,2.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1387,11387.0,Who wrote the subsequent work of One Day at a Time (Em's Version) ?,3.0,2.0,1.0,0.0,13.0,http://dbpedia.org/resource/One_Day_at_a_Time_(Em's_Version),7.0,0.0,0.5,True,0.5,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1394,11394.0,How many companies have launched their rockets from the Vandenerg Air base ?,4.0,2.0,1.0,1.0,12.0,http://dbpedia.org/resource/Vandenberg_Air_Force_Base,2.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1410,11410.0,what cities are close by LoDaisKa ?,2.0,1.0,1.0,0.0,6.0,http://dbpedia.org/resource/LoDaisKa_Site,1.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1426,11426.0,How many nations' volleyball players have played for the Russian women volleyball team ?,4.0,0.0,1.0,1.0,13.0,http://dbpedia.org/resource/Russia_women's_national_volleyball_team,1.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430,11430.0,In how many teams have people previously played who play as defencemen ?,4.0,1.0,1.0,1.0,12.0,http://dbpedia.org/resource/Defenceman,1.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1434,11434.0,who owns the ship Victoria ?,2.0,1.0,1.0,0.0,5.0,http://dbpedia.org/resource/Victoria_(ship),1.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1451,11451.0,"What is the musical whose music is by Jose Luis Narom,  based upon ?",4.0,2.0,1.0,1.0,13.0,http://dbpedia.org/resource/José_Luis_Narom,3.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1463,11463.0,The Other Side has hosted how many guests ?,2.0,0.0,1.0,0.0,8.0,http://dbpedia.org/resource/The_Other_Side_(The_Outer_Limits),3.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1496,11496.0,For how many things are americans famous for ?,3.0,1.0,1.0,0.0,8.0,http://dbpedia.org/resource/United_States,0.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1499,11499.0,where did soccer bowl take place in 76 ?,2.0,1.0,1.0,0.0,8.0,http://dbpedia.org/resource/Soccer_Bowl_'76,2.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1524,11524.0,Count all the Colonels ?,2.0,0.0,1.0,0.0,4.0,http://dbpedia.org/resource/Colonel_(United_States),1.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1533,11533.0,Give me the count of artist in the company whose Artist is Jean- Fran��ois Cot�� ?,3.0,0.0,1.0,0.0,15.0,http://dbpedia.org/resource/Jean-François_Coté,4.0,0.0,0.5,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1567,11567.0,"Through which states does the road go, which has a junction on Keningston Maryland ?",4.0,2.0,1.0,1.0,14.0,"http://dbpedia.org/resource/Kensington,_Maryland",2.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1572,11572.0,Count all the universities who participated in the tournament won by Alabama Crimson Tides in 2015 ?,4.0,0.0,1.0,1.0,16.0,http://dbpedia.org/resource/2015_Alabama_Crimson_Tide_football_team,2.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581,11581.0,Where did Marvo originate ?,2.0,1.0,1.0,0.0,4.0,http://dbpedia.org/resource/Mavro,1.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1594,11594.0,Name the wine regions of Bogdanua ?,2.0,1.0,1.0,0.0,6.0,http://dbpedia.org/resource/Bogdanuša,1.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1601,11601.0,How many important works have been done by Russel Davies ?,2.0,1.0,1.0,0.0,10.0,http://dbpedia.org/resource/Russell_T_Davies,2.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1605,11605.0,What did Steven T Mason's father die from ?,3.0,2.0,1.0,0.0,8.0,http://dbpedia.org/resource/Stevens_T._Mason,3.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610,11610.0,How many different genres led to other genres where drums are important ?,4.0,1.0,1.0,1.0,12.0,http://dbpedia.org/resource/Drum_kit,0.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1616,11616.0,Which tv series have a score composed by judy hard angelo ?,3.0,1.0,1.0,1.0,11.0,http://dbpedia.org/resource/Judy_Hart_Angelo,1.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1631,11631.0,Give me an estimate number of races where horses grandsired by the Wild Risk have raced in ?,4.0,1.0,1.0,1.0,17.0,http://dbpedia.org/resource/Wild_Risk,2.0,0.0,0.0,True,0.5,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646,11646.0,How many teams have used the stadiums which have been rented by the Canadian Hockey team ?,3.0,1.0,1.0,0.0,16.0,http://dbpedia.org/resource/Hockey_Canada,1.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1647,11647.0,How many TV shows are similar to the ones belonging to fantasy genre ?,4.0,2.0,1.0,1.0,13.0,http://dbpedia.org/resource/Fantasy_television,1.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1649,11649.0,What religions are followed by economists ?,3.0,2.0,1.0,0.0,6.0,http://dbpedia.org/resource/Economist,1.0,0.0,0.0,True,0.5,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1655,11655.0,How many games have a composer who worked for the Creatures ?,4.0,1.0,1.0,1.0,11.0,http://dbpedia.org/resource/Creatures_(company),1.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1662,11662.0,What is the ethicity of Ted Falon ?,2.0,1.0,1.0,0.0,7.0,http://dbpedia.org/resource/Ted_Failon,2.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1673,11673.0,What are all the religions that have been followed by the Sir Lankan attorneys ?,3.0,2.0,1.0,0.0,14.0,http://dbpedia.org/resource/Attorneys_in_Sri_Lanka,2.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1689,11689.0,Was True Grit a novel of the western genre ?,3.0,1.0,2.0,0.0,9.0,"http://dbpedia.org/resource/True_Grit_(novel),http://dbpedia.org/resource/Western_(genre)",0.0,1.5,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1698,11698.0,Who made the singles on the famous album Aida ?,4.0,2.0,1.0,1.0,9.0,http://dbpedia.org/resource/Elton_John_and_Tim_Rice's_Aida,1.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1717,11717.0,How many owners owned the clubs participating in the Premier leagues of '14 ?,3.0,1.0,1.0,0.0,13.0,http://dbpedia.org/resource/2014–15_Premier_League,2.0,0.0,0.5,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1728,11728.0,Who directed The Haunted House ?,2.0,1.0,1.0,0.0,5.0,http://dbpedia.org/resource/The_Haunted_House_(1929_film),3.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1740,11740.0,How many religions have the relatives of waxiangs followed ?,3.0,1.0,1.0,0.0,9.0,http://dbpedia.org/resource/Waxiang_people,0.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1751,11751.0,What is the religion of the ones in the Kampuchean Union of Salvation ?,3.0,2.0,1.0,0.0,13.0,http://dbpedia.org/resource/Kampuchean_United_Front_for_National_Salvation,4.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1769,11769.0,"Where did the genres originate, which were in the Harry and the Potters album ?",3.0,2.0,1.0,0.0,14.0,http://dbpedia.org/resource/Harry_and_the_Potters_(album),4.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1800,11800.0,Josef Bhler belongs to which political party ?,2.0,1.0,1.0,0.0,7.0,http://dbpedia.org/resource/Josef_Bühler,2.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1826,11826.0,Name the monarch of L Buwei ?,2.0,1.0,1.0,0.0,6.0,http://dbpedia.org/resource/Lü_Buwei,2.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1844,11844.0,Count the different number of academic areas covered by publications of SAGE ?,3.0,1.0,1.0,0.0,12.0,http://dbpedia.org/resource/SAGE_Publications,2.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1850,11850.0,What is the launch site of Aquarius (rocket) ?,2.0,1.0,1.0,0.0,8.0,http://dbpedia.org/resource/Aquarius_(rocket),2.0,0.0,0.5,True,0.5,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1851,11851.0,List the magazines published by Playbow Enterprises ?,3.0,1.0,1.0,1.0,7.0,http://dbpedia.org/resource/Playboy_Enterprises,2.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1858,11858.0,What are the awards won by the film editor of World of Tomorrow ?,3.0,2.0,1.0,0.0,13.0,http://dbpedia.org/resource/World_of_Tomorrow_(film),3.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1883,11883.0,How many guests have been there on broadway ?,2.0,0.0,1.0,0.0,8.0,http://dbpedia.org/resource/On_Broadway_(Smash),2.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1890,11890.0,How many companies have developed cross platformed softwares ?,3.0,1.0,1.0,0.0,8.0,http://dbpedia.org/resource/Cross-platform,0.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903,11903.0,How many different people have been in any political seat in places which are under the Indian Standard timezone ?,3.0,2.0,1.0,0.0,19.0,http://dbpedia.org/resource/Indian_Standard_Time,3.0,0.0,0.0,True,0.5,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1905,11905.0,Give me the total number of lines owned by owner of Mwtro-Noth Railroad ?,3.0,1.0,1.0,0.0,13.0,http://dbpedia.org/resource/Metro-North_Railroad,2.0,0.0,0.5,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1917,11917.0,Which rivers flow into the lower manhatten ?,2.0,1.0,1.0,0.0,7.0,http://dbpedia.org/resource/Lower_Manhattan,0.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1930,11930.0,Where is the mouth of the river whose tributary is Bjelimi��ka  Rijeka ?,3.0,2.0,1.0,0.0,12.0,http://dbpedia.org/resource/Bjelimićka_Rijeka,2.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,12006.0,Which country were the people from who became famous for the Ramon Mangsaysay Award ?,4.0,2.0,1.0,1.0,14.0,http://dbpedia.org/resource/Ramon_Magsaysay_Award,0.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2033,12033.0,Count the number of artist whose pone of the field is writing ?,3.0,2.0,1.0,0.0,12.0,http://dbpedia.org/resource/Writing,1.0,0.0,0.0,True,0.5,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2055,12055.0,"Over how many cities did the Bellaton MMA, Season 11 take place ?",2.0,0.0,1.0,0.0,12.0,http://dbpedia.org/resource/Bellator_MMA:_Season_Eleven,0.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2115,12115.0,where is the thorington train station located ?,2.0,1.0,1.0,0.0,7.0,http://dbpedia.org/resource/Thorington_railway_station,2.0,0.0,0.0,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2122,12122.0,Whose military unit is 39th infantry regiment in 1812 ?,2.0,1.0,1.0,0.0,9.0,http://dbpedia.org/resource/39th_Infantry_Regiment_(War_of_1812),3.0,0.0,0.5,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2139,12139.0,Name the team manger of Middlebrough F.C season 2006-07 ?,2.0,1.0,1.0,0.0,9.0,http://dbpedia.org/resource/2006–07_Middlesbrough_F.C._season,1.0,0.0,0.5,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2199,12199.0,"The sports team which played at the American Basketball League championship (1996-1998), have which stadiums ?",4.0,2.0,1.0,1.0,15.0,http://dbpedia.org/resource/American_Basketball_League_(1996–98),3.0,0.0,0.0,False,0.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2200,12200.0,Who wrote the musical whose composer is Emil Dean Zoghby ?,4.0,2.0,1.0,1.0,10.0,http://dbpedia.org/resource/Emil_Dean_Zoghby,3.0,0.0,0.0,True,0.5,True,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
